year,month,month_name,district,division,water_area_km2,total_area_km2,water_fraction,water_area_calibrated_km2,season
2015,5,May,Lalmonirhat,Rangpur,84.64,1381.75,0.061257,41.9,Pre-Monsoon (Mar-May)
2015,5,May,Madaripur,Dhaka,55.26,1257.23,0.043951,27.4,Pre-Monsoon (Mar-May)
2015,5,May,Magura,Khulna,100.49,1143.98,0.087844,49.7,Pre-Monsoon (Mar-May)
2015,5,May,Manikganj,Dhaka,152.4,1531.92,0.099484,75.4,Pre-Monsoon (Mar-May)
2015,5,May,Maulvibazar,Sylhet,344.36,2819.05,0.122155,170.4,Pre-Monsoon (Mar-May)
2015,5,May,Meherpur,Khulna,37.4,732.79,0.051036,18.5,Pre-Monsoon (Mar-May)
2015,5,May,Munshiganj,Dhaka,82.12,1036.66,0.079212,40.6,Pre-Monsoon (Mar-May)
2015,5,May,Mymensingh,Dhaka,1336.43,4784.19,0.279343,661.5,Pre-Monsoon (Mar-May)
2015,5,May,Naogaon,Rajshahi,1233.17,3824.58,0.322434,610.4,Pre-Monsoon (Mar-May)
2015,5,May,Narail,Khulna,28.94,1072.86,0.026977,14.3,Pre-Monsoon (Mar-May)
2015,5,May,Narayanganj,Dhaka,68.54,832.16,0.082362,33.9,Pre-Monsoon (Mar-May)
2015,5,May,Narsingdi,Dhaka,72.51,1281.34,0.056588,35.9,Pre-Monsoon (Mar-May)
2015,5,May,Natore,Rajshahi,205.97,2101.7,0.098004,101.9,Pre-Monsoon (Mar-May)
2015,5,May,Nawabganj,Rajshahi,133.76,1804.38,0.074131,66.2,Pre-Monsoon (Mar-May)
2015,5,May,Netrakona,Dhaka,546.33,3089.39,0.176842,270.4,Pre-Monsoon (Mar-May)
2015,5,May,Nilphamari,Rangpur,413.07,1836.84,0.224883,204.4,Pre-Monsoon (Mar-May)
2015,5,May,Noakhali,Chittagong,96.61,2642.03,0.036565,47.8,Pre-Monsoon (Mar-May)
