Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
5,May,Gopalganj,-8.1042
5,May,Habiganj,-9.5837
5,May,Jamalpur,-12.3172
5,May,Jessore,-9.6771
5,May,Jhalokati,-12.3208
5,May,Jhenaidah,-8.3877
5,May,Joypurhat,-7.4128
5,May,Khagrachhari,-6.8251
5,May,Khulna,-11.5874
5,May,Kishoreganj,-11.7517
5,May,Kurigram,-13.3013
5,May,Kushtia,-13.0148
5,May,Lakshmipur,-14.2553
5,May,Lalmonirhat,-9.8903
5,May,Madaripur,-12.7594
5,May,Magura,-8.9164
5,May,Manikganj,-15.3947
5,May,Maulvibazar,-11.1718
5,May,Meherpur,-7.9776
5,May,Munshiganj,-14.9314
5,May,Mymensingh,-7.4351
5,May,Naogaon,-8.1271
5,May,Narail,-11.9048
5,May,Narayanganj,-11.6387
5,May,Narsingdi,-13.9601
5,May,Natore,-8.1238
5,May,Nawabganj,-10.4988
5,May,Netrakona,-10.1217
5,May,Nilphamari,-7.5716
5,May,Noakhali,-14.9407
5,May,Pabna,-11.8906
5,May,Panchagarh,-7.9646
5,May,Patuakhali,-13.1802
5,May,Pirojpur,-12.9188
5,May,Rajbari,-12.7171
5,May,Rajshahi,-11.1002
5,May,Rangamati,-11.8978
5,May,Rangpur,-7.5797
5,May,Satkhira,-11.1841
5,May,Shariatpur,-14.2632
5,May,Sherpur,-7.0787
5,May,Sirajganj,-15.2478
5,May,Sunamganj,-12.8488
5,May,Sylhet,-11.7406
5,May,Tangail,-9.0111
5,May,Thakurgaon,-8.5339
5,May,national_mean,-10.8344
6,June,Bagerhat,-8.758
6,June,Bandarban,-6.0541
6,June,Barguna,-13.3686
6,June,Barisal,-12.7821
6,June,Bhola,-14.4872
6,June,Bogra,-13.5261
6,June,Brahamanbaria,-12.7961
6,June,Chandpur,-12.9129
6,June,Chittagong,-7.792
6,June,Chuadanga,-8.2777
6,June,Comilla,-8.8607
6,June,Cox's Bazar,-10.9447
6,June,Dhaka,-8.1934
6,June,Dinajpur,-7.3991
6,June,Faridpur,-12.4601
6,June,Feni,-7.7799
6,June,Gaibandha,-13.6548
6,June,Gazipur,-9.1469
6,June,Gopalganj,-9.4714
6,June,Habiganj,-11.7145
6,June,Jamalpur,-12.947
6,June,Jessore,-10.6024
6,June,Jhalokati,-11.0299
6,June,Jhenaidah,-8.2704
6,June,Joypurhat,-7.016
6,June,Khagrachhari,-6.4556
6,June,Khulna,-10.4122
6,June,Kishoreganj,-13.5152
6,June,Kurigram,-13.4096
6,June,Kushtia,-12.7905
6,June,Lakshmipur,-13.9192
6,June,Lalmonirhat,-11.8628
6,June,Madaripur,-11.0484
6,June,Magura,-9.1655
6,June,Manikganj,-13.9041
6,June,Maulvibazar,-12.1804
6,June,Meherpur,-7.8632
6,June,Munshiganj,-13.5227
6,June,Mymensingh,-8.5316
6,June,Naogaon,-8.7382
6,June,Narail,-11.1928
6,June,Narayanganj,-14.072
6,June,Narsingdi,-13.2518
6,June,Natore,-10.005
6,June,Nawabganj,-11.3591
6,June,Netrakona,-12.2708
6,June,Nilphamari,-7.8938
6,June,Noakhali,-12.972
6,June,Pabna,-12.8626
6,June,Panchagarh,-7.6801
6,June,Patuakhali,-12.8862
6,June,Pirojpur,-11.2112
6,June,Rajbari,-12.3409
6,June,Rajshahi,-12.3809
6,June,Rangamati,-10.6101
6,June,Rangpur,-7.3481
6,June,Satkhira,-10.74
